Date,Type,Action,Symbol,Instrument Type,Description,Value,Quantity,Average Price,Commissions,Fees,Multiplier,Underlying Symbol,Expiration Date,Strike Price,Call or Put,Order #
2021-01-29T15:09:58-0500,Trade,SELL_TO_OPEN,SPX   211217C04900000,Equity Option,Sold 6 SPX 12/17/21 Call 4900.00 @ 11.50,"6,900.00",6,"1,150.00",-6.00,-4.722,100,SPX,12/17/21,4900.0,CALL,127279498
2021-01-29T15:09:58-0500,Trade,BUY_TO_CLOSE,SPX   211217C03900000,Equity Option,Bought 2 SPX 12/17/21 Call 3900.00 @ 219.50,"-43,900.00",2,"-21,950.00",0.00,-1.57,100,SPX,12/17/21,3900.0,CALL,127279498
2021-01-27T12:31:25-0500,Trade,SELL_TO_OPEN,SPX   211217C04900000,Equity Option,Sold 3 SPX 12/17/21 Call 4900.00 @ 11.90,"3,570.00",3,"1,190.00",-3.00,-2.366,100,SPX,12/17/21,4900.0,CALL,126368457
2021-01-27T12:28:40-0500,Trade,SELL_TO_CLOSE,SPX   211217C04300000,Equity Option,Sold 6 SPX 12/17/21 Call 4300.00 @ 82.31,"49,386.00",6,"8,231.00",0.00,-4.722,100,SPX,12/17/21,4300.0,CALL,126366493
2021-01-27T12:28:40-0500,Trade,BUY_TO_CLOSE,SPX   211217C03900000,Equity Option,Bought 3 SPX 12/17/21 Call 3900.00 @ 246.82,"-74,046.00",3,"-24,682.00",0.00,-2.36,100,SPX,12/17/21,3900.0,CALL,126366493
2021-01-27T12:17:53-0500,Trade,SELL_TO_CLOSE,SPX   211217C04400000,Equity Option,Sold 5 SPX 12/17/21 Call 4400.00 @ 59.11,"29,555.00",5,"5,911.00",0.00,-3.94,100,SPX,12/17/21,4400.0,CALL,126358383
2021-01-27T12:17:53-0500,Trade,BUY_TO_CLOSE,SPX   211217C04000000,Equity Option,Bought 3 SPX 12/17/21 Call 4000.00 @ 194.35,"-58,305.00",3,"-19,435.00",0.00,-2.36,100,SPX,12/17/21,4000.0,CALL,126358383
2021-01-20T15:23:52-0500,Trade,SELL_TO_CLOSE,SPX   211217C04300000,Equity Option,Sold 1 SPX 12/17/21 Call 4300.00 @ 79.66,"7,966.00",1,"7,966.00",0.00,-0.792,100,SPX,12/17/21,4300.0,CALL,124762703
2021-01-20T15:23:52-0500,Trade,BUY_TO_CLOSE,SPX   211217C04900000,Equity Option,Bought 1 SPX 12/17/21 Call 4900.00 @ 10.96,"-1,096.00",1,"-1,096.00",0.00,-0.79,100,SPX,12/17/21,4900.0,CALL,124762703
2021-01-20T15:15:06-0500,Trade,BUY_TO_CLOSE,SPX   211217C04900000,Equity Option,Bought 6 SPX 12/17/21 Call 4900.00 @ 10.91,"-6,546.00",6,"-1,091.00",0.00,-4.71,100,SPX,12/17/21,4900.0,CALL,124758387
2021-01-20T15:15:06-0500,Trade,SELL_TO_CLOSE,SPX   211217C04300000,Equity Option,Sold 3 SPX 12/17/21 Call 4300.00 @ 79.12,"23,736.00",3,"7,912.00",0.00,-2.366,100,SPX,12/17/21,4300.0,CALL,124758387
2021-01-08T14:28:12-0500,Trade,BUY_TO_OPEN,SPX   211217C04400000,Equity Option,Bought 5 SPX 12/17/21 Call 4400.00 @ 46.44,"-23,220.00",5,"-4,644.00",-5.00,-3.93,100,SPX,12/17/21,4400.0,CALL,122591609
2021-01-08T14:28:12-0500,Trade,SELL_TO_OPEN,SPX   211217C04000000,Equity Option,Sold 2 SPX 12/17/21 Call 4000.00 @ 172.73,"34,546.00",2,"17,273.00",-2.00,-1.574,100,SPX,12/17/21,4000.0,CALL,122591609
2021-01-08T14:28:12-0500,Trade,SELL_TO_OPEN,SPX   211217C04000000,Equity Option,Sold 1 SPX 12/17/21 Call 4000.00 @ 172.74,"17,274.00",1,"17,274.00",-1.00,-0.792,100,SPX,12/17/21,4000.0,CALL,122591609
2021-01-07T12:13:57-0500,Trade,SELL_TO_CLOSE,SPX   211217C04300000,Equity Option,Sold 2 SPX 12/17/21 Call 4300.00 @ 65.00,"13,000.00",2,"6,500.00",0.00,-1.574,100,SPX,12/17/21,4300.0,CALL,122250862
2021-01-06T14:25:41-0500,Trade,BUY_TO_OPEN,SPX   211217C04300000,Equity Option,Bought 1 SPX 12/17/21 Call 4300.00 @ 56.00,"-5,600.00",1,"-5,600.00",-1.00,-0.79,100,SPX,12/17/21,4300.0,CALL,121968478
2021-01-06T12:48:42-0500,Trade,SELL_TO_OPEN,SPX   211217C04900000,Equity Option,Sold 30 SPX 12/17/21 Call 4900.00 @ 8.25,"24,750.00",30,825.00,-30.00,-23.63,100,SPX,12/17/21,4900.0,CALL,121965617
